Issue Type,Story ID,Summary,Epic Name,Epic Link,Phase,T-shirt size,Labels,Labels,Labels,Parent Link,Depends On,Status,Description
Epic,,Federate BreakDown Product — Frontend,Federate BreakDown Product — Frontend,,,,fed-graphql-fe,frontend,epic,,,,"Umbrella epic for the pdex-ui-react frontend migration to the federated GraphQL gateway. Holds the frontend stories for the 8 phase-1 domains (Product, Impression, BOM, Measurement, Product Details, Packaging, Watchlist, Claims); platform enablement (flag, codegen, cache remap, fragment sweep, dynamic-gql expansion) is already complete. Every story lists the backend stories it depends on; a frontend story is Done only after its backend dependencies are delivered."
Story,BOM-FE-001,[BOM FE] Statically expand BOM fragment factories (pre-cutover) [BOM-FE-001],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,bom,refactor,,,To Do,"*Implementation Order:* 38 of 44 (BOM combined — frontend #1, cutover step 1)
*Domain:* BOM — *Team:* Frontend — *Owner:* FE-1
*Priority:* High — *Parallelizable:* Yes

*Depends On:*
* None

*Blocks:*
* BOM-FE-002 — Migrate BOM core reads

* *Type:* Refactor · *Impact:* High · *Domain:* bom
* *Depends on:* —
* *Operations:* —

* *Business objective:*
** Unblock codegen and validation for every BOM document before cutover work starts.
* *Technical objective:*
** Land the BOM share of the dynamic-gql static expansion (delivered platform pattern: {{BUILD_FILES_FRAGMENT}}, {{BOM_FABRIC_SPEC_COMBO_DETAILS}}) and regenerate all embedding documents in {{product-queries/BomQueries.ts}}.
* *Background / current implementation:*
** The factories are embedded in the widest BOM read documents ({{getBomByIds}} variants); every downstream BOM story depends on their static form.
* *Required changes:*
** Behaviour-neutral expansion on the legacy schema; document-text snapshot proves equivalence.

*Acceptance Criteria*

1. {{BomQueries.ts}} contains only static documents; codegen validates all of them.

*Testing*

* Document-text snapshots; existing BOM screen tests unchanged.

* *Risk:* Medium.
* *Estimated effort:* 3–4 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,BOM-FE-002,[BOM FE] Migrate BOM core reads [BOM-FE-002],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,bom,query-migration,,BOM-BE-B-01 BOM-BE-B-03 BOM-BE-B-04 BOM-FE-001,To Do,"*Implementation Order:* 40 of 44 (BOM combined — frontend #3, cutover step 2)
*Domain:* BOM — *Team:* Frontend — *Owner:* FE-1
*Priority:* High — *Parallelizable:* Yes

*Depends On:*
* BOM-BE-B-01 — getBomByIds data fetcher
* BOM-BE-B-03 — getBomStatus
* BOM-BE-B-04 — getBomByParentId data fetcher
* BOM-FE-001 — Statically expand BOM fragment factories (pre-cutover)

*Blocks:*
* BOM-FE-007 — Adopt BOM `supplier` entity references (optional, PO-gated)
* IMPRESSION-FE-001 — Migrate `getBomDataAndImpressions` (with BOM wave)

* *Type:* Query migration · *Impact:* High · *Domain:* bom
* *Depends on:* BOM-BE-B-01, BOM-BE-B-03, BOM-BE-B-04, BOM-FE-001
* *Operations:* {{getBomByIds}}, {{getBomByParentId}}, {{getBomStatus}}, {{getBomComponentStatus}}

* *Business objective:*
** BOM detail and status views read from the federated graph with unchanged behaviour.
* *Technical objective:*
** Migrate the by-id/by-parent reads and status reads (3 {{getBomByIds}} variants with different selection widths).
* *Background / current implementation:*
** {{product-queries/BomQueries.ts}} + {{spark-ui-admin}}; heavy fragment composition ({{BomDetails}}, {{MaterialDetails}}, supplier/combo fragments).
* *Required changes:*
** Fragment re-target; nested entity selections for material/supplier references per the federated {{Bom}} schema.

*Acceptance Criteria*

1. BOM detail renders identically under the flag across fixture BOMs (fabric, trim, packaging component mixes).
2. One {{Bom}} cache entity is shared across all migrated documents.

*Testing*

* Response JSON diff per variant; BOM screen integration suite.

* *Risk:* High — widest fragment graph after product.
* *Estimated effort:* 6–10 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,BOM-FE-003,[BOM FE] Migrate BOM search and elastic reads [BOM-FE-003],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,bom,query-migration,,BOM-BE-C-01 BOM-BE-S-03,To Do,"*Implementation Order:* 43 of 44 (BOM combined — frontend #6, cutover step 5)
*Domain:* BOM — *Team:* Frontend — *Owner:* FE-1
*Priority:* High — *Parallelizable:* Yes

*Depends On:*
* BOM-BE-C-01 — getBomElastic data fetcher
* BOM-BE-S-03

*Blocks:*
* None

* *Type:* Query migration · *Impact:* High · *Domain:* bom
* *Depends on:* BOM-BE-C-01, BOM-BE-S-03
* *Operations:* {{getBomElastic}}, {{searchMaterialsBom}}

* *Business objective:*
** BOM listing and material search inside BOM keep parity through the search cutover.
* *Technical objective:*
** Migrate {{getBomElastic}} and {{searchMaterialsBom}} after the elastic read-hub decision lands (BOM-BE-S-03 carries the spike outcome).
* *Background / current implementation:*
** List screens page through elastic-backed results; {{MAX_BOM_SEARCH_SIZE}} constant caps page size client-side.
* *Required changes:*
** Adopt ratified search shapes; verify paging/caps unchanged.

*Acceptance Criteria*

1. Search results, ordering and paging match legacy fixtures.

*Testing*

* Search fixture parity tests; list-screen pagination tests.

* *Risk:* High — blocked on the search spike.
* *Estimated effort:* 5–8 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,BOM-FE-004,[BOM FE] Migrate BOM master-data reads [BOM-FE-004],,Federate BreakDown Product — Frontend,FE,S,fed-graphql-fe,bom,query-migration,,BOM-BE-B-05 BOM-BE-B-06 BOM-BE-B-07 BOM-BE-B-08,To Do,"*Implementation Order:* 39 of 44 (BOM combined — frontend #2, cutover step 1)
*Domain:* BOM — *Team:* Frontend — *Owner:* FE-1
*Priority:* Low — *Parallelizable:* Yes

*Depends On:*
* BOM-BE-B-05 — getBomMaterialTypes
* BOM-BE-B-06 — getBomPackagingMaterialTypes
* BOM-BE-B-07 — getBomPackagingSubstrates
* BOM-BE-B-08 — getBomPackagingUnitOfMeasure

*Blocks:*
* None

* *Type:* Query migration · *Impact:* Low · *Domain:* bom
* *Depends on:* BOM-BE-B-05, BOM-BE-B-06, BOM-BE-B-07, BOM-BE-B-08
* *Operations:* {{getBomMaterialTypes}}, {{getBomPackagingMaterialTypes}}, {{getBomPackagingSubstrates}}, {{getBomPackagingUnitOfMeasure}}

* *Business objective:*
** BOM editors keep their dropdown/master data.
* *Technical objective:*
** Re-point the 4 master-data queries ({{getBomPackagingMasterData}} document bundles several of them).
* *Background / current implementation:*
** Static reference data, cached client-side per session.
* *Required changes:*
** Endpoint re-point + type regeneration only; {{cache-first}} policy retained.

*Acceptance Criteria*

1. Dropdown contents identical; one fetch per session per master-data set.

*Testing*

* Fixture equality tests.

* *Risk:* Low.
* *Estimated effort:* 2–3 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,BOM-FE-005,[BOM FE] Migrate BOM supplier reads [BOM-FE-005],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,bom,query-migration,,BOM-BE-C-03 BOM-BE-C-04 BOM-BE-C-05,To Do,"*Implementation Order:* 41 of 44 (BOM combined — frontend #4, cutover step 2)
*Domain:* BOM — *Team:* Frontend — *Owner:* FE-1
*Priority:* Medium — *Parallelizable:* Yes

*Depends On:*
* BOM-BE-C-03 — getComboSupplierForBom data fetcher
* BOM-BE-C-04 — getValidTrimSuppliersForBom data fetcher
* BOM-BE-C-05 — getValidRawMaterialSuppliersForBom data fetcher

*Blocks:*
* None

* *Type:* Query migration · *Impact:* Medium · *Domain:* bom
* *Depends on:* BOM-BE-C-03, BOM-BE-C-04, BOM-BE-C-05
* *Operations:* {{getComboSupplierForBom}}, {{getValidTrimSuppliersForBom}}, {{getValidRawMaterialSuppliersForBom}}

* *Business objective:*
** Supplier pickers in the BOM editor stay accurate.
* *Technical objective:*
** Migrate the 3 supplier-lookup queries ({{getValidSuppliersForBom}} document).
* *Background / current implementation:*
** Supplier results join VMM business-partner data — flat partner fields may become {{VMM_BusinessPartner}} stubs.
* *Required changes:*
** Selection updates for partner entity nesting; picker component model updates.

*Acceptance Criteria*

1. Picker options and disabled states match legacy fixtures.

*Testing*

* Picker component tests across fixture partner sets.

* *Risk:* Medium.
* *Estimated effort:* 3–5 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,BOM-FE-006,[BOM FE] Migrate BOM mutations including `updateBom` saga handling [BOM-FE-006],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,bom,mutation-migration-(complex),,BOM-BE-D-01 BOM-BE-D-03 BOM-BE-D-04 BOM-BE-D-05 BOM-BE-S-01,To Do,"*Implementation Order:* 44 of 44 (BOM combined — frontend #7, cutover step 5)
*Domain:* BOM — *Team:* Frontend — *Owner:* FE-1
*Priority:* High — *Parallelizable:* Yes

*Depends On:*
* BOM-BE-D-01 — addBom mutation
* BOM-BE-D-03 — lockBom mutation
* BOM-BE-D-04 — unlockBom mutation
* BOM-BE-D-05 — updateBomComponentStatus mutation
* BOM-BE-S-01

*Blocks:*
* None

* *Type:* Mutation migration (complex) · *Impact:* High · *Domain:* bom
* *Depends on:* BOM-BE-D-01, BOM-BE-D-03, BOM-BE-D-04, BOM-BE-D-05, BOM-BE-S-01
* *Operations:* {{addBom}}, {{lockBom}}, {{unlockBom}}, {{updateBom}}, {{updateBomComponentStatus}}

* *Business objective:*
** BOM create/edit/lock flows write through the federated graph with explicit partial-failure behaviour.
* *Technical objective:*
** Migrate the 5 BOM mutations; adopt the saga contract for {{updateBom}} (3-step write, no rollback today — ADR-013, 🟠 draft; BOM-BE-S-01 carries the decision).
* *Background / current implementation:*
** {{updateBom}} failures today can leave partial state that the UI cannot detect; the editor refetches after every save.
* *Required changes:*
** Saga-status rendering on save (per-step success/failure); retry affordance per the ratified contract.
** Lock/unlock and component-status mutations are single-step re-points with cache writes.

*Acceptance Criteria*

1. Save surfaces per-step outcomes; a partial failure is visible and actionable, never silent.
2. Lock state renders from the mutation response without refetch.

*Testing*

* Induced step-failure tests against the saga contract; editor E2E save flows.

* *Risk:* High — blocked on ADR-013 ratification.
* *Estimated effort:* 8–12 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,BOM-FE-007,"[BOM FE] Adopt BOM `supplier` entity references (optional, PO-gated) [BOM-FE-007]",,Federate BreakDown Product — Frontend,FE,S,fed-graphql-fe,bom,query-enhancement,,BOM-BE-G-17 BOM-FE-002,To Do,"*Implementation Order:* 42 of 44 (BOM combined — frontend #5, cutover step 4)
*Domain:* BOM — *Team:* Frontend — *Owner:* FE-1
*Priority:* Low — *Parallelizable:* No

*Depends On:*
* BOM-BE-G-17 — supplier entity references on material rows
* BOM-FE-002 — Migrate BOM core reads

*Blocks:*
* None

* *Type:* Query enhancement · *Impact:* Low · *Domain:* bom
* *Depends on:* BOM-BE-G-17, BOM-FE-002
* *Operations:* {{getBomByIds}}, {{getBomByParentId}}, {{searchMaterialsBom}}

* *Business objective:*
** BOM screens show supplier details without a second business-partner fetch.
* *Technical objective:*
** Where BOM documents select {{supplierId}}/{{supplierName}} (18 selections in {{src/libs/product-queries/src/queries/BomQueries.tsx}}), optionally add the additive {{supplier { id name }}} selection and drop the secondary {{getBusinessPartnersByIds}} calls in the supplier pickers.
* *Background / current implementation:*
** Material rows carry only the denormalized id+name pair; partner detail flows re-query VMM by id (federation-review/06 §2 REC-1).
* *Required changes:*
** Selection-set additions per screen (ids stay selected — snapshot semantics per OQ-3); codegen re-run; MSW mocks gain {{supplier}}; remove redundant partner fetches where the entity now covers the need.

*Acceptance Criteria*

1. Supplier column/name rendering is pixel-identical (still driven by {{supplierName}}).
2. Supplier detail popovers read from the {{supplier}} entity; the redundant partner fetch is removed.
3. No selection added on screens that only render the name (avoid gateway fan-out for nothing).

*Testing*

* Snapshot + network-call-count assertions on the BOM grid and supplier pickers.

* *Risk:* Low — additive; gated on PO approval (OQ-5) and BOM-BE-G-17.
* *Estimated effort:* 2–4 days

---

## Measurement

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,CLAIM-FE-001,[Claims FE] Split the claim fragment factory and re-target claim fragments [CLAIM-FE-001],,Federate BreakDown Product — Frontend,FE,M,fed-graphql-fe,claims,refactor,,,To Do,"*Implementation Order:* 22 of 25 (Claims combined — frontend #1, cutover step 1)
*Domain:* Claims — *Team:* Frontend — *Owner:* FE-2
*Priority:* Medium — *Parallelizable:* No

*Depends On:*
* None

*Blocks:*
* CLAIM-FE-002 — Migrate claim reads (first cross-subgraph cutover)

* *Type:* Refactor · *Impact:* Medium · *Domain:* claims
* *Depends on:* —
* *Operations:* —

* *Business objective:*
** Claim documents become statically valid before the first cross-subgraph cutover.
* *Technical objective:*
** Land the claims share of the dynamic-gql static expansion (delivered platform pattern): {{FULL_CLAIM_DETAILS(includeWorkspaces)}} → two static fragments; re-target {{CLAIM_DETAILS_FRAGMENT}} / {{CLAIM_WORKSPACE_PRODUCT_FRAGMENT}}.
* *Background / current implementation:*
** The factory is consumed from {{claims}} and {{spark-legacy}} template-library flows.
* *Required changes:*
** Behaviour-neutral expansion; call sites select the with/without-workspaces variant explicitly.

*Acceptance Criteria*

1. No runtime-composed claim documents remain; codegen validates all claim documents.

*Testing*

* Document-text snapshots; claim screen tests unchanged.

* *Risk:* Low.
* *Estimated effort:* 2–3 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
Story,CLAIM-FE-002,[Claims FE] Migrate claim reads (first cross-subgraph cutover) [CLAIM-FE-002],,Federate BreakDown Product — Frontend,FE,L,fed-graphql-fe,claims,query-migration,,CLAIM-BE-B-01 CLAIM-BE-B-02 CLAIM-BE-B-03 CLAIM-BE-B-04 CLAIM-FE-001,To Do,"*Implementation Order:* 23 of 25 (Claims combined — frontend #2, cutover step 2)
*Domain:* Claims — *Team:* Frontend — *Owner:* FE-2
*Priority:* High — *Parallelizable:* No

*Depends On:*
* CLAIM-BE-B-01 — getClaims
* CLAIM-BE-B-02 — getClaimByIds
* CLAIM-BE-B-03 — getCommunicationChannels
* CLAIM-BE-B-04 — getAllClaimsAbout
* CLAIM-FE-001 — Split the claim fragment factory and re-target claim fragments

*Blocks:*
* None

* *Type:* Query migration · *Impact:* High · *Domain:* claims
* *Depends on:* CLAIM-BE-B-01, CLAIM-BE-B-02, CLAIM-BE-B-03, CLAIM-BE-B-04, CLAIM-FE-001
* *Operations:* {{getClaims}}, {{getClaimByIds}}, {{getCommunicationChannels}}, {{getAllClaimsAbout}}, {{getClaimComponentStatus}}

* *Business objective:*
** Claim views read from the {{spark-claims}} subgraph through the router — the program's first cross-subgraph entity resolution in production.
* *Technical objective:*
** Migrate the 5 read operations; the claim → product entity hop ({{Claims.product}}) exercises {{Product @key}} resolution across subgraphs.
* *Background / current implementation:*
** {{claims/ClaimQueries.ts}} + {{spark-legacy}} template library + {{spark-ui-admin}}; {{getWorkspaceV2}} inside ClaimQueries is a workspace-service call (out of scope — stays on its current endpoint).
* *Required changes:*
** Fragment re-target; error-policy {{all}} (claim screens must render if the product subgraph is degraded).

*Acceptance Criteria*

1. Claim list/detail render identically under the flag; product data inside claims resolves via entity reference.
2. Product-subgraph failure yields partial claim render, not a blank screen.

*Testing*

* Cross-subgraph fixture tests incl. induced product-subgraph failure; claim screen integration suite.

* *Risk:* High — first cross-subgraph dependency in production.
* *Estimated effort:* 6–10 days

*Definition of Done:*
* Operations point at the federated router behind the platform flag
* Dual-run parity clean; flag flip and rollback path verified
* No UI regression (component tests + smoke suite)"
